CODCOMP_STR,POBLACION
0109007803,388.0
0109007804,202.0
0109008001,218.0
0109008002,280.0
0109008003,220.0
0109008004,224.0
0109008005,292.0
0109008006,240.0
0109008007,430.0
0109008600,106.0
0109008601,114.0
0109008602,154.0
0109008603,118.0
0109009003,204.0
0109009004,270.0
0109009005,244.0
0109009006,236.0
0109009600,366.0
0109009601,778.0
0109009602,6.0
0109009603,28.0
0109010001,202.0
0109010002,166.0
0109010003,216.0
0109010004,0.0
0109010005,0.0
0109010006,100.0
0109010007,256.0
0109010008,20.0
0109011002,384.0
0109011003,342.0
0109011004,302.0
0109011005,276.0
0109011006,316.0
0109012001,306.0
0109012004,380.0
0109012400,0.0
0109012401,0.0
0109012800,218.0
0109013001,290.0
0109013002,100.0
0109013003,184.0
0109013004,162.0
0109013005,200.0
0109013006,238.0
0109014001,266.0
0109014002,118.0
0109014003,216.0
0109014004,380.0
0109014005,392.0
0109015001,296.0
0109015002,162.0
0109015003,238.0
0109015004,710.0
0109016001,85.0
0109016002,296.0
0109016003,156.0
0109016004,140.0
0109016005,142.0
0109016006,43.0
0109018002,348.0
0109018003,32.0
0109018004,89.0
0109018008,161.0
0109018009,98.0
0109018010,112.0
0109018011,123.0
0109018013,233.0
0109018014,226.0
0109018016,24.0
0109018500,0.0
0109018600,42.0
0109018601,7.0
0109018800,173.0
0109018801,8.0
0109018802,31.0
0109019001,0.0
0109019002,1.0
0109019005,98.0
0109019008,0.0
0109019009,0.0
0109019010,0.0
0109019011,0.0
0109019012,47.0
0109019015,0.0
0109019400,0.0
0109019401,0.0
0109019600,75.0
0109019800,251.0
0109019802,39.0
0109019803,19.0
0109020002,134.0
0109020003,146.0
0109020005,0.0
0109020400,0.0
0109020401,0.0
0109020600,81.0
0109020800,153.0
0109021001,320.0
0109021002,96.0
0109021003,114.0
0109021004,104.0
0109021005,70.0
0109021006,219.0
0109021007,100.0
0109021008,0.0
0109021402,0.0
0109021403,0.0
0109022001,110.0
0109022002,297.0
0109022003,137.0
0109022004,25.0
0109022006,34.0
0109022007,2.0
0109022008,0.0
0109022009,8.0
0109022010,91.0
0109022011,0.0
0109022404,0.0
0109022406,0.0
0109022407,0.0
0109022408,0.0
0109023001,190.0
0109023002,253.0
0109023003,50.0
0109023004,100.0
0109023401,0.0
0109024001,138.0
0109024002,246.0
0109024003,208.0
0109024004,176.0
0109024005,77.0
0109025001,191.0
0109025002,211.0
0109025003,159.0
0109025005,156.0
0109025006,0.0
0109025007,161.0
0109025008,137.0
0109025009,106.0
0109025010,169.0
0109025012,30.0
0109025400,0.0
0109025401,0.0
0109025402,0.0
0109025403,0.0
0109025404,0.0
0109025600,115.0
0109025800,79.0
0109026002,60.0
0109026003,91.0
0109026011,63.0
0109026012,100.0
0109026013,88.0
0109026014,51.0
0109026015,102.0
0109026016,113.0
0109026017,75.0
0109026021,95.0
0109026022,117.0
0109026023,105.0
0109026024,84.0
0109026025,100.0
0109026026,60.0
0109026027,196.0
0109026028,135.0
0109026029,94.0
0109026030,73.0
0109026031,140.0
0109026800,349.0
0109027001,160.0
0109027003,104.0
0109027004,191.0
0109027005,252.0
0109027500,0.0
0109027800,167.0
0109027801,51.0
0109027802,122.0
0109027803,74.0
0109028001,54.0
0109028002,163.0
0109028003,68.0
0109028004,81.0
0109028005,173.0
0109028006,161.0
0109029001,178.0
0109029002,83.0
0109029003,119.0
0109029004,109.0
0109029005,102.0
0109029006,116.0
0109029007,90.0
