NOMBRE,DIRECCION,x,y,POBLACION
ESTE,Gregorio Migues y J.P.Varela,625796.401993947,6182890.86366332,2591.0
FAMASHOP 66,Manuel Melendez 1135,743753.204773754,6320162.38504052,15431.0
FARINA,José E. Rodó y W. Beltrán,662259.500462157,6194647.82476714,16063.0
FARMA & GLAM (ANDES),Soriano 850,573262.576235601,6136844.50844272,35100.0
FARMA & GLAM (ANDROMEDA),Garcia de Zuniga 2211,576221.20957896,6135679.960624,31420.0
FARMA & GLAM (EROSA),Jose E. Rodo 2101,575717.788372944,6137383.94891405,65098.0
FARMA & GLAM (GALENA),Arenal Grande 1352,575557.538096269,6137372.57428259,66743.0
FARMA & GLAM (KENNY),Rondeau 1685,573799.861587856,6137772.95900437,39878.0
FARMA & GLAM (LA CAJA),Colonia 1870,575239.564776818,6137624.30383789,63672.0
FARMA & GLAM (LOS FAROLES),Durazno 1102,573830.801791198,6136554.19752247,40751.0
FARMA & GLAM (LUJAN),18 de Julio 2176,576000.032632675,6137839.12252986,55417.0
FARMACENTRO,Av. Artigas 901,442097.749507484,6652175.09778682,9084.0
FARMACENTRO,Herrera 650,766317.474835786,6415069.24482465,17249.0
FARMACITY,21 de Septiembre 2753,576982.901347073,6135774.68815797,54704.0
FARMACITY,Av. Brasil 3077,577667.941059929,6136237.59194205,64206.0
FARMACITY,Av. Italia 3250,578172.545810587,6139058.71708727,39159.0
FARMACITY,Av. Luis A. Herrera 1248,578839.632369228,6137210.87676895,33929.0
FARMACITY,Blvd Artigas esquina 22,613358.315308411,6151586.24837629,3991.0
FARMACOSTA,25 de Agosto esq. Gran Bretaña,623101.318416584,6151880.40561559,895.0
FARMAGLOBAL,Av. Italia 2941,577576.768001565,6138834.97422913,33962.0
FARMAGLOBAL,Francisco Solano Antuña 2752,577301.461985404,6135672.00993147,53392.0
FARMAGLOBAL  4, Av. Brasil 2948,577480.673406188,6136457.8260095,75036.0
FARMAGLOBAL 11,Av. Giannattasio 21.500,592920.752506252,6144636.32687565,10116.0
FARMAGLOBAL 14,Bv. Gral. Artigas 1157,576384.753653907,6136907.91783247,64032.0
FARMAGLOBAL 2,Jaime Zudáñez,577461.689212509,6135908.70747886,59054.0
FARMAGLOBAL 5,José Ellauri 868,577334.429652724,6136086.04845207,68188.0
FARMAGLOBAL 7,21 de Setiembre 3076,577555.699017305,6135475.38105795,40726.0
FARMAGLOBAL 8,Ramón Masini 3379,577840.644792289,6136379.83707749,61854.0
