CODCOMP,DPTO,NOMDPTO,NOMLOC,P_TOT,CODLOC
"0103104400","01",MONTEVIDEO,MONTEVIDEO,"0","01020"
"0103104401","01",MONTEVIDEO,MONTEVIDEO,"0","01020"
"0103104500","01",MONTEVIDEO,MONTEVIDEO,"0","01020"
"0103104600","01",MONTEVIDEO,MONTEVIDEO,"36","01020"
"0103201005","01",MONTEVIDEO,MONTEVIDEO,"99","01020"
"0103201006","01",MONTEVIDEO,MONTEVIDEO,"112","01020"
"0103201007","01",MONTEVIDEO,MONTEVIDEO,"0","01020"
"0103201008","01",MONTEVIDEO,MONTEVIDEO,"139","01020"
"0103201009","01",MONTEVIDEO,MONTEVIDEO,"258","01020"
"0103202005","01",MONTEVIDEO,MONTEVIDEO,"242","01020"
"0103202006","01",MONTEVIDEO,MONTEVIDEO,"188","01020"
"0103202007","01",MONTEVIDEO,MONTEVIDEO,"270","01020"
"0103202400","01",MONTEVIDEO,MONTEVIDEO,"0","01020"
"0103202500","01",MONTEVIDEO,MONTEVIDEO,"0","01020"
"0103202600","01",MONTEVIDEO,MONTEVIDEO,"152","01020"
"0103204003","01",MONTEVIDEO,MONTEVIDEO,"200","01020"
"0103204004","01",MONTEVIDEO,MONTEVIDEO,"181","01020"
"0103204005","01",MONTEVIDEO,MONTEVIDEO,"88","01020"
"0103204006","01",MONTEVIDEO,MONTEVIDEO,"68","01020"
"0103204007","01",MONTEVIDEO,MONTEVIDEO,"108","01020"
"0103204010","01",MONTEVIDEO,MONTEVIDEO,"0","01020"
"0103204400","01",MONTEVIDEO,MONTEVIDEO,"0","01020"
"0103204500","01",MONTEVIDEO,MONTEVIDEO,"0","01020"
"0103204600","01",MONTEVIDEO,MONTEVIDEO,"0","01020"
"0104001001","01",MONTEVIDEO,MONTEVIDEO,"8","01020"
"0104001002","01",MONTEVIDEO,MONTEVIDEO,"5","01020"
"0104001003","01",MONTEVIDEO,MONTEVIDEO,"91","01020"
"0104001004","01",MONTEVIDEO,MONTEVIDEO,"0","01020"
"0104001005","01",MONTEVIDEO,MONTEVIDEO,"19","01020"
"0104001006","01",MONTEVIDEO,MONTEVIDEO,"0","01020"
"0104001007","01",MONTEVIDEO,MONTEVIDEO,"0","01020"
"0104001008","01",MONTEVIDEO,MONTEVIDEO,"0","01020"
"0104001009","01",MONTEVIDEO,MONTEVIDEO,"354","01020"
"0104001010","01",MONTEVIDEO,MONTEVIDEO,"0","01020"
"0104001011","01",MONTEVIDEO,MONTEVIDEO,"149","01020"
"0104001012","01",MONTEVIDEO,MONTEVIDEO,"230","01020"
"0104001500","01",MONTEVIDEO,MONTEVIDEO,"0","01020"
"0104102001","01",MONTEVIDEO,MONTEVIDEO,"124","01020"
"0104102003","01",MONTEVIDEO,MONTEVIDEO,"204","01020"
"0104102004","01",MONTEVIDEO,MONTEVIDEO,"269","01020"
"0104102006","01",MONTEVIDEO,MONTEVIDEO,"378","01020"
"0104102400","01",MONTEVIDEO,MONTEVIDEO,"0","01020"
"0104102401","01",MONTEVIDEO,MONTEVIDEO,"0","01020"
"0104102402","01",MONTEVIDEO,MONTEVIDEO,"0","01020"
"0104102403","01",MONTEVIDEO,MONTEVIDEO,"0","01020"
"0104102500","01",MONTEVIDEO,MONTEVIDEO,"0","01020"
"0104102600","01",MONTEVIDEO,MONTEVIDEO,"0","01020"
"0104102601","01",MONTEVIDEO,MONTEVIDEO,"0","01020"
"0104102602","01",MONTEVIDEO,MONTEVIDEO,"0","01020"
"0104103001","01",MONTEVIDEO,MONTEVIDEO,"359","01020"
"0104103002","01",MONTEVIDEO,MONTEVIDEO,"208","01020"
"0104103005","01",MONTEVIDEO,MONTEVIDEO,"281","01020"
"0104103006","01",MONTEVIDEO,MONTEVIDEO,"262","01020"
"0104103009","01",MONTEVIDEO,MONTEVIDEO,"393","01020"
"0104103010","01",MONTEVIDEO,MONTEVIDEO,"292","01020"
"0104104001","01",MONTEVIDEO,MONTEVIDEO,"244","01020"
"0104104002","01",MONTEVIDEO,MONTEVIDEO,"322","01020"
"0104104005","01",MONTEVIDEO,MONTEVIDEO,"349","01020"
"0104104006","01",MONTEVIDEO,MONTEVIDEO,"149","01020"
"0104104009","01",MONTEVIDEO,MONTEVIDEO,"142","01020"
"0104104010","01",MONTEVIDEO,MONTEVIDEO,"248","01020"
"0104202007","01",MONTEVIDEO,MONTEVIDEO,"311","01020"
"0104202009","01",MONTEVIDEO,MONTEVIDEO,"251","01020"
"0104202010","01",MONTEVIDEO,MONTEVIDEO,"364","01020"
"0104202012","01",MONTEVIDEO,MONTEVIDEO,"0","01020"
"0104202013","01",MONTEVIDEO,MONTEVIDEO,"0","01020"
"0104202400","01",MONTEVIDEO,MONTEVIDEO,"0","01020"
"0104202401","01",MONTEVIDEO,MONTEVIDEO,"0","01020"
"0104202402","01",MONTEVIDEO,MONTEVIDEO,"0","01020"
"0104202500","01",MONTEVIDEO,MONTEVIDEO,"0","01020"
"0104202600","01",MONTEVIDEO,MONTEVIDEO,"0","01020"
"0104203003","01",MONTEVIDEO,MONTEVIDEO,"133","01020"
"0104203004","01",MONTEVIDEO,MONTEVIDEO,"362","01020"
"0104203007","01",MONTEVIDEO,MONTEVIDEO,"195","01020"
"0104203008","01",MONTEVIDEO,MONTEVIDEO,"295","01020"
"0104203011","01",MONTEVIDEO,MONTEVIDEO,"264","01020"
"0104203012","01",MONTEVIDEO,MONTEVIDEO,"202","01020"
"0104204003","01",MONTEVIDEO,MONTEVIDEO,"134","01020"
"0104204004","01",MONTEVIDEO,MONTEVIDEO,"331","01020"
"0104204007","01",MONTEVIDEO,MONTEVIDEO,"304","01020"
"0104204008","01",MONTEVIDEO,MONTEVIDEO,"297","01020"
"0104204011","01",MONTEVIDEO,MONTEVIDEO,"291","01020"
"0104204012","01",MONTEVIDEO,MONTEVIDEO,"239","01020"
"0104204013","01",MONTEVIDEO,MONTEVIDEO,"133","01020"
"0105101001","01",MONTEVIDEO,MONTEVIDEO,"361","01020"
"0105101002","01",MONTEVIDEO,MONTEVIDEO,"10","01020"
"0105101008","01",MONTEVIDEO,MONTEVIDEO,"196","01020"
"0105101009","01",MONTEVIDEO,MONTEVIDEO,"148","01020"
"0105101010","01",MONTEVIDEO,MONTEVIDEO,"165","01020"
"0105101011","01",MONTEVIDEO,MONTEVIDEO,"304","01020"
"0105101400","01",MONTEVIDEO,MONTEVIDEO,"0","01020"
"0105101500","01",MONTEVIDEO,MONTEVIDEO,"0","01020"
"0105101501","01",MONTEVIDEO,MONTEVIDEO,"0","01020"
"0105102001","01",MONTEVIDEO,MONTEVIDEO,"283","01020"
"0105102002","01",MONTEVIDEO,MONTEVIDEO,"338","01020"
"0105102007","01",MONTEVIDEO,MONTEVIDEO,"93","01020"
"0105102008","01",MONTEVIDEO,MONTEVIDEO,"265","01020"
"0105102600","01",MONTEVIDEO,MONTEVIDEO,"0","01020"
"0105102601","01",MONTEVIDEO,MONTEVIDEO,"33","01020"
"0105103001","01",MONTEVIDEO,MONTEVIDEO,"278","01020"
"0105103002","01",MONTEVIDEO,MONTEVIDEO,"250","01020"
"0105103007","01",MONTEVIDEO,MONTEVIDEO,"259","01020"
"0105103008","01",MONTEVIDEO,MONTEVIDEO,"104","01020"
