,CODLOC_STR,NOMBLOC,POBLACION,CANT_FARMACIAS
157,04824,CERRO DE LAS CUENTAS,263.0,0
158,04825,HIPODROMO,505.0,0
159,04827,PLACIDO ROSAS,415.0,0
160,04828,TOLEDO,132.0,0
161,04829,TRES ISLAS,195.0,0
162,04830,POBLADO URUGUAY,104.0,0
163,04900,RURAL,5936.0,8
164,04923,ARBOLITO,189.0,0
165,04924,AREVALO,272.0,0
166,04930,CASERIO LAS CAÑAS,72.0,0
167,04940,ESPERANZA,26.0,0
168,04943,GETULIO VARGAS,28.0,0
169,04948,LA PEDRERA,131.0,0
170,04949,LAGO MERIN,439.0,0
171,04952,MANGRULLO,6.0,0
172,04956,NANDO,13.0,0
173,04966,QUEBRACHO,70.0,0
174,04968,RAMON TRIGO,150.0,0
175,04981,SOTO GORO,9.0,0
176,04983,BARRIO LOPEZ BENITEZ,522.0,0
177,04987,BARRIO LA VINCHUCA,388.0,0
178,04988,ARACHANIA,20.0,0
179,04989,ÑANGAPIRE,5.0,0
180,05320,COLONIA DEL SACRAMENTO,26231.0,8
181,05321,CARMELO,18041.0,2
182,05323,JUAN LACAZE,12816.0,3
183,05421,NUEVA HELVECIA,10630.0,4
184,05422,ROSARIO,10085.0,2
185,05423,NUEVA PALMIRA,9857.0,3
186,05452,PASO ANTOLIN,78.0,0
187,05521,OMBUES DE LAVALLE,3390.0,2
188,05522,TARARIRAS,6632.0,3
189,05621,COLONIA VALDENSE,3235.0,2
190,05622,FLORENCIO SANCHEZ,3716.0,3
191,05721,CONCHILLAS,401.0,0
192,05722,CASERIO EL CERRO,168.0,0
193,05724,LA PAZ,603.0,0
194,05726,RIACHUELO,138.0,0
195,05727,JUAN CARLOS CASEROS,85.0,0
196,05798,AGRACIADA,192.0,1
197,05821,BOCA DEL ROSARIO,12.0,0
198,05824,CUFRE,353.0,0
199,05826,EL SEMILLERO,600.0,0
200,05827,ESTACION ESTANZUELA,249.0,0
201,05829,CERROS DE SAN JUAN,60.0,0
202,05831,MIGUELETE,999.0,1
203,05900,RURAL,11471.0,24
204,05923,CAMPANA,298.0,0
205,05924,ARTILLEROS,73.0,0
206,05925,BARKER,158.0,0
207,05927,EL ENSUEÑO,19.0,0
208,05931,BLANCA ARENA,69.0,0
209,05932,BRISAS DEL PLATA,27.0,0
210,05938,COLONIA COSMOPOLITA,73.0,0
211,05940,PARAJE MINUANO,120.0,0
212,05951,LOS PINOS,193.0,1
213,05955,CHICO TORINO,61.0,0
214,05956,LA HORQUETA,100.0,0
215,05959,PLAYA AZUL,25.0,1
216,05960,PLAYA BRITOPOLIS,107.0,1
217,05961,PLAYA PARANT,45.0,1
218,05962,PLAYA FOMENTO,84.0,1
219,05964,PUERTO INGLES,60.0,0
220,05969,RADIAL HERNANDEZ,294.0,0
221,05977,SAN PEDRO,73.0,0
222,05979,SANTA ANA,222.0,0
223,05980,SANTA REGINA,52.0,0
224,05987,ZAGARZAZU,96.0,0
225,05989,ARRIVILLAGA,112.0,0
226,05993,EL FARO,9.0,0
227,05994,LAGUNA DE LOS PATOS,136.0,0
